
Feb 28, 1961	 	108 - 123 		
Feb 27, 1961		 88 - 113 		
Feb 26, 1961		121 - 116 
Jan 21, 1961	 	111 - 136 		
Dec 1, 1960	 		114 - 117 		
Nov 29, 1960	 	121 - 122 		
Nov 28, 1960		137 - 112 
Nov 27, 1960		106 - 113 		
Nov 9, 1960	 	    118 - 125 		
Oct 28, 1960	 	120 - 122 		
Feb 27, 1960 	 	109 - 91 
Feb 20, 1960 		106 - 122 		
Feb 1, 1960 	 	96  - 103 		
Jan 31, 1960 	 	104 - 114 		
Jan 5, 1960 	 	111 - 126 		
Dec 30, 1959 		107 - 122 		
Dec 3, 1959 		109 - 123 		
Nov 15, 1959 	 	106 - 100 
Nov 14, 1959 		98  - 104 		
Mar 1, 1959 	 	100 - 98 
Feb 7, 1959 	 	109 - 97 
Jan 25, 1959 		111 - 125 		
Jan 18, 1959 	 	119 - 98 
Jan 4, 1959 	 	111 - 95 
Dec 29, 1958 	 	93  - 95 		
Dec 20, 1958 	 	99  - 88 
Nov 15, 1958 	    101 - 106 		
Nov 6, 1958 	 	103 - 101 
Mar 2, 1958 	 	102 - 92 
Feb 24, 1958 	 	95  - 110 		
Feb 16, 1958 	 	106 - 99 
Feb 5, 1958 	 	102 - 112 		
Feb 4, 1958 	 	103 - 107 		
Dec 18, 1957 	 	108 - 102 
Nov 24, 1957 		98  - 105 		
Nov 8, 1957 	 	108 - 119 		
Nov 2, 1957 		108 - 118 		
Mar 13, 1957 	 	114 - 97 
Mar 12, 1957 	 	100 - 94 
Feb 28, 1957 		112 - 129 		
Feb 15, 1957 		104 - 105 		
Feb 6, 1957 	 	101 - 100 
Dec 11, 1956 		111 - 114 		
Dec 2, 1956 	 	106 - 96
Nov 27, 1956 	 	113 - 98 
Nov 16, 1956 		97  - 123 		
Mar 1, 1956 		102 - 100 
Feb 17, 1956 		111 - 134 		
Feb 11, 1956 	 	102 - 117 		
Jan 28, 1956 	 	85  - 108 		
Jan 18, 1956 	 	105 - 94 
Dec 6, 1955 	 	103 - 116 		
Nov 27, 1955 	 	99  - 94 
Nov 12, 1955 	 	89  - 100 		
Nov 9, 1955 		106 - 117 		
Mar 12, 1955 	 	86  - 78 
Mar 9, 1955 		89  - 102 		
Feb 13, 1955 	 	103 - 93 
Jan 16, 1955 	 	106 - 98 
Jan 13, 1955 		96  - 102 	 	
Jan 5, 1955 		85  - 106 		
Jan 3, 1955 	 	76  - 74 
Dec 25, 1954 	 	99  - 91 
Dec 1, 1954 		91  - 88 
Feb 25, 1954 		72  - 81 		
Feb 22, 1954 	 	72  - 79 		
Feb 13, 1954 	 	86  - 77
Feb 9, 1954 	 	70  - 67
Feb 8, 1954 	 	106 - 91
Feb 6, 1954 	 	97  - 94 
